,price
28511,242600
4161,4900
82760,19900
57436,322600
10577,46800
58382,18800
13945,105000
46686,140000
101775,11700
15651,39999
24148,93799
18168,14500
23749,400850
42758,42900
95374,37500
97637,19900
105774,7999
26377,15900
39141,61500
101144,109900
94618,89400
35426,23900
18276,14900
88646,6999
81308,28990
55279,97170
86699,14600
41493,84800
14336,10900
80518,17950
83584,10900
57250,234000
84010,17990
91918,24900
88812,21900
101203,109900
32795,139900
86590,22900
888,8900
97966,62900
27763,83500
31434,355200
3506,39700
71639,9471
108861,29900
41012,62900
3810,51900
116117,73000
68677,30500
5454,141890
17292,89900
10281,64900
26732,22999
41211,129900
101878,13500
12659,31500
12389,45990
65433,79900
76582,89900
103493,39900
30341,64900
88213,71900
89504,17300
114280,55000
15663,73600
92854,87200
101056,44900
8087,26000
718,15900
55020,16700
55627,72500
30115,22500
113411,14900
1165,15500
94374,82900
17231,179900
77100,24000
64065,28900
66769,30800
33139,76000
29988,27500
91788,35900
107,12500
104143,29300
18723,31900
2284,34900
71635,36900
23528,365000
105593,71500
26406,7900
70581,14500
101209,66666
21876,316460
956,17500
18638,25500
78797,126900
90768,80000
66525,7900
3223,38745
16264,25500
62757,146700
101844,5999
85784,10578
37367,18999
59201,99900
10229,46000
4949,17777
89094,8500
28700,237500
71985,18900
53015,23800
81866,21900
91582,39500
54811,49900
23756,432935
102874,35900
382,29900
50850,29999
62981,82672
99034,19990
68689,23900
27109,74900
90731,92000
18385,31900
42435,18900
14241,5400
80520,8500
79102,36900
19596,71900
65011,32900
86796,22000
30755,71900
83565,10400
56284,87000
53409,65799
69874,73500
11140,13900
46318,15600
83266,15900
89387,22000
55423,122900
88152,117900
104979,122700
28389,50000
50026,69999
3328,69900
53695,96600
45574,31111
10437,89700
85109,49900
72749,12900
47526,17900
91885,59900
13889,43000
27088,29900
92618,39900
35370,41850
23154,41900
50911,35999
54553,10000
32934,170200
35397,24900
110530,55999
10964,16490
64718,8900
28036,88900
41959,9500
79331,12900
35889,49500
25550,145944
99024,23900
18804,19900
79695,29800
20797,216999
10337,49900
67896,59900
11640,72900
55262,29900
71784,108900
102945,29900
35241,159900
115649,16900
46957,179000
70591,15600
107664,38700
114932,12490
67627,86600
111291,85000
8316,24900
27126,28900
106271,14499
69656,78000
29672,18700
98560,11366
56574,152000
54874,33666
107096,189300
51301,94900
88766,20900
103652,8700
47750,26900
8254,21900
116131,83700
28295,52000
50964,13900
83458,32800
113495,9900
14282,11900
76954,17999
39607,172200
51162,95900
111158,23700
33071,53500
66969,42000
86490,7400
35057,216250
10689,56000
61262,139800
73505,180000
16102,61000
20747,179900
17842,209850
43225,193500
60714,54900
68808,74999
100854,34900
105169,89000
11713,4500
4921,14900
117335,324350
110553,28290
2595,26900
53741,74900
106851,9900
110781,114900
90376,39900
116357,44800
56719,119900
83626,16900
31374,239499
12428,33900
52474,23000
34685,770000
38117,99900
42603,39900
88451,175100
66912,23900
105458,17700
53843,61900
52343,18000
23710,818400
45118,24500
38315,53500
49653,31900
100168,105700
411,21300
61561,19999
80872,209100
67626,84200
96718,116928
16142,40900
70276,25400
78866,52999
107368,40000
106998,8650
82642,56500
100206,134800
63071,39800
72358,104900
108602,39900
7601,6999
104644,65900
78622,134900
104467,47900
102027,47900
35166,265600
35085,165900
49973,126950
89578,66500
25557,100000
86638,21400
114321,42500
53072,19999
111556,29800
85118,22900
35537,10500
69349,39027
75416,38900
26496,26000
111418,92554
19760,141450
28906,304300
88163,74900
96797,105900
13973,79900
43586,110500
91216,21900
74165,54100
75160,30000
58232,49500
53781,52500
12140,22900
78785,131200
108907,32700
25921,3999
8618,85500
19971,269900
62952,53000
23449,762400
86141,9900
82696,49900
98570,15600
83352,17900
35704,194955
83171,13900
88529,79900
78257,78000
51445,57900
102357,78300
100328,24900
78304,71900
61209,259900
18444,15500
40866,109500
86973,50900
52182,4900
85150,38500
60308,25900
66133,21000
115887,149500
30816,52000
113149,94800
94733,17500
76670,95900
93694,19999
80915,164900
84917,47000
9199,3490
73161,39900
57082,364900
67694,61900
66285,25000
84416,19800
90091,14900
54012,55900
59141,31500
25424,38900
9290,6500
70630,8700
567,5900
26217,8000
107486,15900
13615,21500
101089,228500
18021,274200
81578,349900
32196,252150
46559,91200
115594,31900
27733,47900
25325,42500
80246,156300
3913,39900
42994,25500
58057,232320
73561,151290
66898,23900
11958,17500
75157,15900
24905,14900
94278,61000
41669,125600
86523,8400
24040,169900
103051,96830
88740,18300
114430,25000
93820,42600
102621,34900
91856,36900
60464,13500
72275,69900
67925,102585
102391,18900
56448,42900
116085,116000
85207,35900
112268,49900
9978,57800
80564,35000
105721,5999
101376,65900
35500,13500
6031,39900
110078,88000
71042,30000
22500,211540
20693,172000
9027,76900
18631,26900
114138,67999
22005,61900
37636,85900
64054,42900
102830,42900
103361,24800
75143,14900
11583,48000
41987,17800
76668,146450
73217,26500
83611,11900
16025,31999
80869,10000
91079,67900
107252,12500
58516,24900
73335,84900
100304,67900
94617,92500
110233,23900
42480,27900
83726,19900
38721,16900
99733,76900
27218,27000
35520,14145
41772,99900
97219,24500
104945,56900
19647,164900
67158,23999
42282,5800
22668,237321
4940,10500
36965,9500
45017,145500
19826,81500
79879,99900
57840,74900
102842,34900
81017,208450
66926,21800
48044,81070
34887,65000
54373,101116
1664,29700
5317,36300
43470,119450
94465,79900
83399,26799
55956,129997
85064,149900
25497,55000
96323,55965
83887,18500
115873,95000
75371,17500
81153,68252
81435,7200
25015,16000
19465,135000
58329,43900
109794,41000
54823,29900
73440,61500
52116,5500
40011,10000
25016,16900
77935,58500
91655,47900
113503,7300
51437,79000
14606,13000
70421,25000
57077,129900
99276,181400
112166,16900
52454,20000
20794,269900
26449,14900
57335,394000
104977,126550
85714,15999
61153,265200
19687,88000
4674,14900
101401,6800
68060,43900
65661,59000
97229,21900
104375,24999
47561,27900
91883,26700
111764,32500
27119,61500
20916,24000
10220,90550
2187,12990
10268,38500
51060,13900
99010,27800
914,15999
106137,14999
116458,199900
87908,32900
54250,310810
107266,55900
